,dqn_reward_episodic
0,631.3163285452729
1,476.2936162159571
2,748.7021550457662
3,750.312454012851
4,667.3577923517042
5,599.5658609746174
6,560.6065335544555
7,498.21493921402197
8,513.612038401626
9,676.4762383974396
10,535.232030010272
11,484.12492594041123
12,722.6014424611262
13,590.9523890917186
14,694.8479235695941
15,465.90890670934164
16,451.7805976086521
17,489.8129841073712
18,678.2576786534298
19,604.3448098109639
20,601.9176684356191
21,587.3066557820814
22,633.8495388255176
23,784.2291766802803
24,464.3621778806158
25,660.5485593467735
26,610.780527127255
27,783.7860788559531
28,625.2760261732661
29,284.90067187333165
30,468.20737319631496
31,692.7882577973572
32,424.7593570492267
33,506.4098458797222
34,708.3453293112121
35,539.4441861576732
36,578.1819859987909
37,853.5943253488144
38,679.6012049650762
39,604.0469774158026
40,919.3343144798292
41,479.37188328939084
42,427.9447746607936
43,533.5142061080636
44,614.1730116324136
45,521.0097292157109
46,530.0837696510469
47,920.5580185573687
48,821.2507644553448
49,409.0161071936235
50,566.9161118250859
51,435.95673098185006
52,419.6298548019059
53,849.0390562876711
54,306.2877916895931
55,648.0826876659944
56,820.952360967029
57,877.1791918367744
58,979.3616575950404
59,931.422537120724
60,366.09632494063567
61,422.7960286895275
62,983.1496909342045
63,927.8719809196409
64,898.7648613849642
65,533.7064881118206
66,562.1421053180959
67,968.2718222650141
68,657.6517104416498
69,763.6760491986208
70,263.6816951033533
71,918.2933340152114
72,1044.9981607440989
73,943.2066701454323
74,1053.1964084555614
75,1010.9639494810535
76,474.638844689757
77,903.384768085059
78,877.150697579723
79,950.9404416501035
80,287.01601422050817
81,250.10753115017172
82,1069.3541504755176
83,983.3155649384487
84,1003.2802023486732
85,1045.1404847872386
86,1049.132693852875
87,1012.9392305070769
88,518.4212812010003
89,1107.599415069671
90,319.09556260472203
91,1021.8906925257647
92,1002.2302602730888
93,988.0458630380203
94,679.5947419950221
95,1097.069903915463
96,1066.9994328623345
97,1024.2852156157473
98,594.3318130530291
99,711.1377120682871
100,951.6752034008837
101,303.58025763176613
102,501.1843783462066
103,380.0176291409483
104,449.76646880531575
105,967.9905441012893
106,1097.7889493944538
107,910.2697635321782
108,988.836505220691
109,727.8044762527586
110,1080.7904069846754
111,961.5585111209291
112,743.9815518920941
113,238.39396278725576
114,1046.554858450137
115,380.99359492701365
116,574.2448665264103
117,550.3520224899772
118,753.9428154537285
119,1097.5583314684734
120,608.6500002130376
121,1079.6189678934809
122,685.8907983211716
123,415.75725714338967
124,1081.9184016421923
125,1096.20290703847
126,592.6011812230383
127,662.5896112461465
128,1103.048486489906
129,896.0167675306484
130,1163.2243991768464
131,1050.2100476582189
132,1059.6673084989397
133,330.300095059362
134,1123.5625012514088
135,594.3581248421098
136,577.7164416774099
137,630.9943267445475
138,780.6601956809841
139,1130.5713589709321
140,1093.5912910008863
141,651.0662961498522
142,360.2024280619547
143,186.4527255180373
144,1224.5094372397941
145,1073.410303355983
146,308.5623737740452
147,195.0405313532681
148,325.3637613217037
149,427.57737369283944
150,1200.7019980675864
151,1060.596845498625
152,307.68281760792263
153,1105.0949981702058
154,213.35608941037296
155,1191.956248311013
156,1136.0399974356767
157,1117.0956628922452
158,1167.3539618909433
159,1201.0870242383328
160,1157.9946515591157
161,1094.392698937482
162,276.9633537084681
163,1150.652237629329
164,1116.4913188944972
165,1167.70077700601
166,1206.7035442297592
167,1211.326479275214
168,1193.4603992823143
169,1127.7451048643907
170,1093.6613023308896
171,1094.4372583499157
172,1159.875787247048
173,1148.5525805108653
174,1172.7958804456987
175,1231.3009750919982
176,1127.6680136022148
177,1191.9343717557344
178,1231.2108389580021
179,273.99632066812836
180,1117.516381406484
181,1187.1023355710067
182,1291.322494126503
183,202.0350883129977
184,1268.2689377647173
185,257.97317755465946
186,1126.1377414957915
187,1180.187878973606
188,1158.8905641925808
189,571.4965642379021
190,180.9335108600086
191,1185.203912955196
192,787.0024044538183
193,1237.1012658578989
194,1170.7740517156801
195,1229.1739924457424
196,1218.1855309546424
197,1110.3841465114556
198,1277.3440198705707
199,236.97249318230993
