,dqn_reward_episodic
0,-779
1,-336
2,-343
3,-385
4,-257
5,-563
6,-457
7,-235
8,-276
9,-376
10,-564
11,-377
12,-230
13,-263
14,-201
15,-527
16,-320
17,-501
18,-725
19,-122
20,-310
21,-388
22,-456
23,-302
24,-368
25,-185
26,-202
27,-230
28,-317
29,-185
30,-151
31,-131
32,-115
33,-161
34,-181
35,-228
36,-329
37,-245
38,-408
39,-95
40,-93
41,-93
42,-289
43,-97
44,-232
45,-101
46,-227
47,-97
48,-158
49,-138
50,-232
51,-183
52,-169
53,-237
54,-130
55,-109
56,-258
57,-115
58,-95
59,-182
60,-120
61,-97
62,-147
63,-235
64,-177
65,-167
66,-74
67,-103
68,-83
69,-201
70,-99
71,-84
72,-261
73,-79
74,-93
75,-144
76,-60
77,-98
78,-85
79,-81
80,-65
81,-70
82,-75
83,-108
84,-61
85,-47
86,-68
87,-66
88,-71
89,-49
90,-46
91,-81
92,-48
93,-60
94,-43
95,-31
96,-57
97,-61
98,-41
99,-74
100,-120
101,-37
102,-59
103,-51
104,-40
105,-56
106,-71
107,-48
108,-103
109,-58
110,-29
111,-50
112,-56
113,-55
114,-55
115,-54
116,-45
117,-65
118,-119
119,-52
120,-50
121,-64
122,-48
123,-57
124,-37
125,-35
126,-27
127,-58
128,-72
129,-54
130,-51
131,-33
132,-56
133,-16
134,-19
135,-40
136,-42
137,-49
138,-48
139,-56
140,-50
141,-35
142,-35
143,-41
144,-42
145,-49
146,-27
147,-24
148,-41
149,-34
150,-28
151,-43
152,-49
153,-32
154,-22
155,-28
156,-36
157,-27
158,-30
159,-12
160,-59
161,-46
162,-68
163,-12
164,-15
165,-21
166,-41
167,-29
168,-32
169,-26
170,-43
171,-28
172,-27
173,-22
174,-34
175,-23
176,-17
177,-19
178,-17
179,-23
180,-20
181,-23
182,-14
183,-20
184,-23
185,-19
186,-32
187,-23
188,-32
189,-17
190,-28
191,-23
192,-19
193,-35
194,-27
195,-13
196,-18
197,-22
198,-40
199,-19
