,dqn_reward_episodic
0,-9647
1,-10037
2,-9891
3,-9209
4,-10285
5,-11132
6,-8179
7,-7562
8,-7995
9,-8906
10,-8336
11,-10917
12,-11124
13,-10585
14,-9937
15,-8756
16,-8443
17,-9335
18,-8804
19,-9052
20,-8025
21,-8324
22,-7821
23,-8374
24,-8178
25,-7680
26,-8495
27,-6861
28,-8122
29,-7424
30,-8137
31,-7726
32,-7769
33,-8216
34,-9118
35,-13797
36,-8601
37,-8044
38,-7480
39,-8564
40,-8944
41,-10566
42,-9615
43,-7479
44,-7178
45,-9602
46,-7049
47,-6576
48,-8845
49,-7769
50,-8714
51,-7736
52,-7735
53,-9669
54,-7776
55,-8130
56,-7493
57,-7873
58,-7731
59,-9432
60,-10033
61,-7339
62,-7172
63,-8524
64,-7657
65,-8759
66,-6936
67,-8085
68,-7626
69,-7314
70,-7780
71,-7800
72,-8990
73,-6683
74,-7679
75,-6581
76,-7931
77,-10761
78,-7632
79,-7603
80,-10401
81,-7228
82,-10741
83,-7700
84,-8214
85,-8952
86,-8066
87,-6386
88,-8309
89,-7844
90,-7963
91,-9524
92,-9639
93,-7155
94,-7814
95,-7108
96,-8117
97,-8486
98,-6145
99,-7140
100,-6930
101,-7020
102,-8647
103,-7000
104,-7465
105,-7504
106,-9441
107,-7723
108,-8300
109,-7186
110,-7845
111,-7324
112,-7373
113,-6687
114,-6362
115,-6944
116,-7150
117,-6073
118,-7230
119,-8279
120,-6186
121,-7101
122,-7123
123,-6885
124,-7155
125,-7124
126,-7671
127,-6864
128,-10239
129,-7911
130,-6591
131,-9509
132,-8086
133,-8412
134,-8070
135,-9032
136,-6816
137,-8575
138,-6024
139,-7077
140,-10384
141,-7160
142,-6845
143,-7367
144,-7859
145,-8329
146,-7335
147,-7865
148,-10047
149,-8947
150,-6841
151,-7534
152,-6865
153,-7387
154,-5903
155,-7387
156,-5987
157,-8016
158,-7029
159,-7567
160,-6439
161,-6870
162,-7768
163,-6679
164,-7125
165,-7458
166,-11604
167,-6781
168,-6352
169,-12032
170,-7339
171,-7281
172,-6379
173,-7297
174,-11441
175,-6376
176,-7760
177,-7056
178,-8031
179,-7425
180,-6285
181,-7897
182,-7306
183,-6481
184,-7208
185,-8907
186,-9818
187,-6989
188,-6282
189,-8697
190,-7128
191,-11425
192,-6822
193,-7605
194,-7243
195,-6671
196,-12416
197,-6235
198,-8252
199,-8546
200,-7899
201,-6953
202,-8966
203,-8968
204,-6843
205,-8701
206,-7407
207,-7133
208,-6438
209,-7261
210,-5448
211,-9364
212,-7305
213,-8095
214,-6747
215,-7534
216,-6626
217,-6280
