,dqn_reward_episodic
0,-3072.0
1,-4506.0
2,-4638.0
3,-2913.0
4,-6305.0
5,-5975.0
6,-4132.0
7,-3256.0
8,-3663.0
9,-9443.0
10,-3971.0
11,-9733.0
12,-2526.0
13,-4847.0
14,-3868.0
15,-8780.0
16,-7524.0
17,-2529.0
18,-4113.0
19,-4455.0
20,-3646.0
21,-6577.0
22,-5051.0
23,-6750.0
24,-7447.0
25,-6289.0
26,-5797.0
27,-7553.0
28,-4644.0
29,-2525.0
30,-5827.0
31,-7924.0
32,-3961.0
33,-6577.0
34,-7313.0
35,-5187.0
36,-6679.0
37,-14094.0
38,-5520.0
39,-3461.0
40,-6279.0
41,-7278.0
42,-3532.0
43,-6307.0
44,-5531.0
45,-6646.0
46,-9282.0
47,-10138.0
48,-6054.0
49,-3872.0
50,-4142.0
51,-4639.0
52,-3643.0
53,-9713.0
54,-6093.0
55,-3557.0
56,-3429.0
57,-5177.0
58,-4208.0
59,-4258.0
60,-9904.0
61,-4997.0
62,-7012.0
63,-3749.0
64,-6231.0
65,-2025.0
66,-3064.0
67,-3929.0
68,-3315.0
69,-5535.0
70,-3906.0
71,-5276.0
72,-7694.0
73,-2957.0
74,-6959.0
75,-10348.0
76,-9373.0
77,-16152.0
78,-6625.0
79,-2878.0
80,-2618.0
81,-4933.0
82,-14571.0
83,-3993.0
84,-4188.0
85,-5571.0
86,-5453.0
87,-8680.0
88,-6516.0
89,-5638.0
90,-10814.0
91,-5461.0
92,-6126.0
93,-9551.0
94,-3623.0
95,-13499.0
96,-4121.0
97,-3657.0
98,-4900.0
99,-5383.0
100,-6513.0
101,-3498.0
102,-4328.0
103,-5924.0
104,-2700.0
105,-8246.0
106,-1745.0
107,-23835.0
108,-17664.0
109,-3524.0
110,-6455.0
111,-24717.0
112,-3464.0
113,-4261.0
114,-21734.0
115,-3335.0
116,-5376.0
117,-11672.0
118,-15218.0
119,-11308.0
120,-5777.0
121,-12897.0
122,-7203.0
123,-3850.0
124,-12944.0
125,-6737.0
126,-2857.0
127,-5565.0
128,-14387.0
129,-10339.0
130,-7467.0
131,-9295.0
132,-9590.0
133,-2257.0
134,-4544.0
135,-3404.0
136,-8034.0
137,-4453.0
138,-4789.0
139,-5934.0
140,-1405.0
141,-4952.0
142,-6351.0
143,-9927.0
144,-14792.0
145,-5637.0
146,-8782.0
147,-4480.0
148,-5961.0
149,-3708.0
150,-4464.0
151,-6811.0
152,-3288.0
153,-5596.0
154,-5094.0
155,-2232.0
156,-7645.0
157,-6604.0
158,-4781.0
159,-3087.0
160,-5433.0
161,-4424.0
162,-9405.0
163,-8431.0
164,-6387.0
165,-5034.0
166,-8701.0
167,-11085.0
168,-8432.0
169,-4703.0
170,-9776.0
171,-24355.0
172,-4422.0
173,-5444.0
174,-6563.0
175,-5426.0
176,-1230.0
177,-12004.0
178,-7789.0
179,-3532.0
180,-1607.0
181,-3137.0
182,-3108.0
183,-11612.0
184,-3605.0
185,-1663.0
186,-1453.0
187,-9320.0
188,-11864.0
189,-10482.0
190,-7209.0
191,-9057.0
192,-6283.0
193,-3008.0
194,-1160.0
195,-6381.0
196,-1208.0
197,-2840.0
198,-1816.0
199,-936.0
200,-1586.0
201,-3331.0
202,-4078.0
203,-633.0
204,-1456.0
205,-4098.0
206,-6957.0
207,-9850.0
208,-773.0
209,-12399.0
210,-6735.0
211,-3963.0
212,-6818.0
213,-7876.0
214,-5820.0
215,-1077.0
216,-1782.0
217,-2222.0
218,-2624.0
219,-1622.0
220,-1071.0
221,-7494.0
222,-1134.0
223,-970.0
224,-1119.0
225,-2899.0
226,-4839.0
227,-6656.0
228,-1074.0
229,-2114.0
230,-3031.0
231,-2246.0
232,-1859.0
233,-2723.0
234,-783.0
235,-1606.0
236,-7336.0
237,-2266.0
238,-2118.0
239,-2555.0
240,-1209.0
241,-676.0
242,-2919.0
243,-2668.0
244,-2491.0
245,-1315.0
246,-946.0
247,-1055.0
248,-1863.0
249,-3098.0
250,-1797.0
251,-3053.0
252,-2664.0
253,-4551.0
254,-7914.0
255,-4561.0
256,-1384.0
257,-4147.0
258,-2957.0
259,-883.0
260,-28958.0
261,-4276.0
262,-7084.0
263,-5337.0
264,-1035.0
265,-4643.0
266,-768.0
267,-2257.0
268,-23878.0
269,-6866.0
270,-2727.0
271,-17251.0
272,-16064.0
273,-52533.0
274,-18514.0
275,-1091.0
276,-4525.0
277,-35685.0
278,-22179.0
279,-3262.0
280,-2099.0
281,-21352.0
282,-7489.0
283,-12392.0
284,-10125.0
285,-4287.0
286,-1118.0
287,-850.0
288,-861.0
289,-344.0
290,-2366.0
291,-3491.0
292,-1237.0
293,-8197.0
294,-1983.0
295,-2623.0
296,-3866.0
297,-1264.0
298,-1679.0
299,-929.0
300,-3606.0
301,-3982.0
302,-5081.0
303,-847.0
304,-1634.0
305,-2374.0
306,-3374.0
307,-2673.0
308,-672.0
309,-4783.0
310,-965.0
311,-1449.0
312,-1207.0
313,-11352.0
314,-1607.0
315,-1071.0
316,-510.0
317,-268.0
318,-3495.0
319,-3159.0
320,-1247.0
321,-2381.0
322,-1890.0
323,-6841.0
324,-3382.0
325,-299.0
326,-923.0
327,-312.0
328,-1021.0
329,-1977.0
330,-2627.0
331,-4343.0
332,-2502.0
333,-501.0
334,-1035.0
335,-6745.0
336,-2517.0
337,-2554.0
338,-1606.0
339,-1197.0
340,-837.0
341,-821.0
342,-3933.0
343,-9670.0
344,-2723.0
345,-622.0
346,-4909.0
347,-4631.0
348,-7197.0
349,-775.0
350,-735.0
351,-1127.0
352,-358.0
353,-896.0
354,-2975.0
355,-840.0
356,-191.0
357,-1481.0
358,-5946.0
359,-6545.0
360,-4009.0
361,-1787.0
362,-20239.0
363,-7060.0
364,-9180.0
365,-6294.0
366,-12379.0
367,-291.0
368,-13777.0
369,-5529.0
370,-35731.0
371,-14273.0
372,-8708.0
373,-260.0
374,-3764.0
375,-1032.0
376,-1091.0
377,-753.0
378,-3435.0
379,-6306.0
380,-5979.0
381,-1266.0
382,-2692.0
383,-2527.0
384,-1205.0
385,-29188.0
386,-947.0
387,-770.0
388,-29129.0
389,-1293.0
390,-1322.0
391,-1550.0
392,-1573.0
393,-1265.0
394,-387.0
395,-7713.0
396,-654.0
397,-735.0
398,-4003.0
399,-1685.0
400,-3294.0
401,-2529.0
402,-790.0
403,-938.0
404,-1205.0
405,-3816.0
406,-392.0
407,-692.0
408,-4713.0
409,-3124.0
410,-6612.0
411,-6707.0
412,-1355.0
413,-4937.0
414,-3221.0
415,-11441.0
416,-11573.0
417,-7304.0
418,-8593.0
419,-15735.0
420,-14962.0
421,-2563.0
422,-3110.0
423,-771.0
424,-1127.0
425,-2123.0
426,-911.0
427,-2928.0
428,-7002.0
429,-3187.0
430,-3017.0
431,-10893.0
432,-594.0
433,-1377.0
434,-7297.0
435,-1228.0
436,-5921.0
437,-3554.0
438,-4954.0
439,-563.0
440,-3706.0
441,-574.0
442,-5600.0
443,-743.0
444,-502.0
445,-328.0
446,-767.0
447,-4032.0
448,-4031.0
449,-982.0
450,-1396.0
451,-4498.0
452,-1098.0
453,-1810.0
454,-911.0
455,-1673.0
456,-14986.0
457,-1064.0
458,-3269.0
459,-1325.0
460,-746.0
461,-379.0
462,-526.0
463,-880.0
464,-996.0
465,-4220.0
466,-626.0
467,-3167.0
468,-753.0
469,-2470.0
470,-426.0
471,-3620.0
472,-432.0
473,-770.0
474,-7680.0
475,-7723.0
476,-847.0
477,-1027.0
478,-890.0
479,-364.0
480,-1783.0
481,-447.0
482,-1263.0
483,-2324.0
484,-458.0
485,-501.0
486,-4721.0
487,-2454.0
488,-734.0
489,-3221.0
490,-938.0
491,-1257.0
492,-739.0
493,-7838.0
494,-24870.0
495,-1214.0
496,-5115.0
497,-6176.0
498,-17025.0
499,-2853.0
